"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"199","Joel Embiid","PHI","F-C",TRUE,TRUE,FALSE,64,33.7,7.8,53.3,1.2,30.4,8.2,80.4,9.4,13.5,47.5,9.5,-5.1,1.2,13,1.4,0.7,3.7,1.9,2.5,11.1,-1.46603502046443,4.98753534744088,-6.73581921329249,-3.57205641289113,TRUE,"Joel Embiid"
"200","John Collins","ATL","F-C",TRUE,TRUE,FALSE,61,30,6.7,60.9,0.9,34.8,3.3,76.3,2.5,13.9,66.5,5.9,-1.2,0.7,10.5,0.9,0.4,2,0.6,3.6,6.2,-2.18073576145707,2.23303363354682,-2.55885550701923,-3.0419170854056,FALSE,""
"201","John Henson","CLE","F",FALSE,TRUE,FALSE,14,13.5,1.4,55.6,0.8,35.5,0.4,60,0,41.8,50.6,2.6,-14.3,0.6,6.6,0.9,0.5,1,0.8,1.1,3.9,-0.441043773404938,-1.64355721334623,-0.0785663229594559,-2.29597174868481,FALSE,""
"202","John Jenkins","NYK","G",FALSE,FALSE,TRUE,26,12.8,0.8,43.5,0.8,37.3,0.6,83.3,21.5,54.5,11.6,1.6,2.4,0.3,1.9,0.3,0,0.8,0.1,0.2,1.2,2.49229828226959,-0.81743409262323,3.84472499388165,-0.344276206748755,FALSE,""
"203","John Wall","WAS","G",FALSE,FALSE,TRUE,32,34.5,6.1,50.7,1.6,30.2,3.8,69.7,13.3,23.1,45.2,5.6,2.4,2.8,6.9,1.4,1.5,8.7,0.9,0.5,3.2,-0.636783528110842,2.35605918616277,-3.50820332630545,3.20673495267387,FALSE,""
"204","Johnathan Williams","LAL","F",FALSE,TRUE,FALSE,24,15.5,2.6,60,0,0,1.1,56.3,2.5,0,80.3,3.5,-1.9,0.9,5.2,0.5,0.3,0.5,0.3,2,2.1,-4.60451272080769,-1.33761575870089,1.07146416604455,-1.5899467231118,FALSE,""
"205","Jonah Bolden","PHI","F",FALSE,TRUE,FALSE,44,14.5,1.1,69.7,0.8,35.1,0.3,48.1,1,49.3,43.5,3.1,-4.6,0.9,4.6,0.4,0.4,0.9,0.9,1.1,2.7,-0.777407051267405,-1.88782547991266,0.9097932955789,-1.74000470479603,FALSE,""
"206","Jonas Jerebko","GSW","F",FALSE,TRUE,FALSE,73,16.7,1.3,56.6,0.9,36.4,0.9,80,8.7,45.1,32.2,2.9,-0.3,0.5,4.2,0.5,0.4,1.3,0.2,1,3,0.770984569194527,-0.630647824240886,1.67704030350047,-0.766166920278965,FALSE,""
"207","Jonas Valanciunas","MEM","C",TRUE,FALSE,FALSE,49,22.3,5.8,58.5,0.3,29.2,3,79.5,6,5.5,69.2,6.3,-3.1,0.8,11.1,0.6,0.4,1.4,1.1,2.2,6.4,-2.67153939162948,1.70748752747388,-2.35960368806336,-3.39319721012624,FALSE,""
"208","Jonathan Isaac","ORL","F",FALSE,TRUE,FALSE,75,26.6,2.4,51.5,1.2,32.3,1.5,81.5,10,35.8,38.9,4,-2.7,1.9,7.7,0.8,0.8,1.1,1.3,1.3,4.2,0.413300749855254,0.127108365394025,-1.5990116408295,-1.35066413537938,FALSE,""
"209","Jonathon Simmons","PHI","F",FALSE,TRUE,FALSE,56,19,1.9,42,0.5,26.7,1.3,74.2,11.5,23,45.9,3,0.8,0.9,3.3,0.6,0.5,2.3,0.3,0.5,1.8,-0.375356871876929,-0.695261359249118,1.67838177724896,0.28325908114475,FALSE,""
"210","Jordan Bell","GSW","F",FALSE,TRUE,FALSE,68,11.6,1.4,51.9,0,0,0.4,61,19.7,0,69.1,3.3,1.8,0.7,5.2,0.4,0.3,1.1,0.8,0.8,1.9,-3.40699443713104,-1.53747688451304,1.43735899759201,-1.20531229492101,FALSE,""
"211","Jordan Clarkson","CLE","G",FALSE,FALSE,TRUE,81,27.3,4.7,52.8,1.8,32.4,2,84.4,16.6,31.7,39.9,4,1.1,1.2,5.9,0.8,0.7,2.4,0.2,1,2.3,0.414663207822531,1.67356983871281,0.340014764208139,0.271749659707867,FALSE,""
"212","Jordan McRae","WAS","G",FALSE,FALSE,TRUE,27,12.3,1.9,55.4,0.4,29.4,1,80,27.5,18.8,36.3,3.1,4.2,0.7,3.6,0.1,0.5,1.1,0.3,0.2,1.3,-0.271476522555611,0.0894025819020134,2.63991527618418,-0.106926850938558,FALSE,""
"213","Jose Calderon","DET","G",FALSE,FALSE,TRUE,49,12.9,0.6,49.2,0.3,24.6,0.2,81.8,38.9,37.2,15.9,2.4,3.4,0.8,2.3,0.4,0.3,2.3,0.1,0.2,1,1.23536568376902,-0.693140964991659,2.87983861484053,0.617518613892088,FALSE,""
"214","Josh Hart","LAL","G",FALSE,FALSE,TRUE,67,25.6,1.4,51.1,1.4,33.6,0.8,68.8,2.3,52.6,34.7,4.8,-1.9,1.5,8.5,1,1,1.4,0.6,0.5,3.2,0.908780213238231,-1.13449558941106,-1.05034511369318,-0.129887532910608,FALSE,""
